x,y,category,description
0.05432996,-0.69775516,technology,"Scientists are finding that galaxies can move with each other across huge distances, and against the predictions of basic cosmological models. The reason why could change everything we think we know about the universe."
-2.8192666,-1.9981055,technology,"Hyundai Motor Company and Uber Elevate showed us a fairly complete urban air mobility (UAM) electric vertical takeoff & landing (eVTOL) concept vehicle, autonomous pods, and a hub ecosystem that fits with Uber Elevate’s air taxi model at the Consumer Electronics Show (CES)"
-2.8544555,-5.728655,entertainment,Looking for the next level gaming? We've picked out the best 4K gaming monitors that will give you the sharpest picture you've ever experienced.
-1.2521456,-4.436889,entertainment,"You've been thinking about using a cloud backup service, but don't want to hassle with the research. Good news; we've done it for you, and here's our picks for the very best."
0.80818385,-0.27626306,general,"There’s nothing new under the sun in lowest-common-denominator telly, says Fiona Sturges, which is why the series stands as a hallucinatory collision of The X Factor, Crackerjack! and BDSM-influenced performance art"
3.4853578,-4.3268847,general,Representatives for the multinational International Coordination and Response Group set out a five-point framework for cooperation with Iran to investigate the destruction of a passenger jet near...
3.0870938,1.7370534,sports,"Following a rainy Thursday afternoon practice in Santa Clara, Calif., George Kittle made one thing clear: his ankle injury will not keep him out of Sunday's NFC Championship Game against the Packers."
1.6353443,-2.7949378,sports,Tennessee Titans RB Derrick Henry made NFL history last week as he bulldozered the Ravens in the Divisional Round for 195 rushing yards. Will he do the same against a struggling Chiefs run defense?
0.20621197,0.10359919,sports,Former NFL head coaches Ben McAdoo and Mike McCoy are interviewing for coaching positions with the Panthers. Matt Rhule is looking to add coaches with head coaching experience to his staff.
1.9561625,2.4551888,sports,The Chiefs hope defensive tackle Chris Jones will be on the field when they take on the Titans Sunday. Jones is dealing with a calf injury that had him sidelined during last weeks game against the Texans.
-0.2654955,-1.1041806,sports,"During Saturday's victory over the Baltimore Ravens, Tennessee Titans coach Mike Vrabel was accidentally hit by a sideline judge. Vrabel is adamant that he didn't get knocked down."
3.0437706,1.081262,sports,New Orleans police issued an arrest warrant Thursday for Cleveland Browns wide receiver Odell Beckham stemming from his interaction with a police officer in the LSU locker room in the Superdome following Monday's national title game.
-0.4117722,0.02581036,sports,San Francisco 49ers fullback Kyle Juszczyk believes there's nothing that will hold back tight end George Kittle from playing vs. the Green Bay Packers this weekend.
1.2413412,4.8131413,sports,Northern California native Aaron Rodgers will face his former favorite team on Sunday as the Packers face the 49ers for the second time this season as he vies for a second Super Bowl berth.
1.8352821,-2.402134,sports,"The Bengals coaching staff spoke glowingly about LSU QB Joe Burrow, who led his team to a national championship earlier this week. The Bengals hold the No.1 pick in 2020 NFL Draft."
-0.88083047,0.3670493,entertainment,Skyrim is coming to The Elder Scrolls Online starting this May on PC and Mac. PS4 and Xbox One players will get the new content by June. Watch the new trailer here.
-3.7869873,0.72689366,entertainment,"The Overwatch League’s third season will begin on Feb. 8 in New York City. Ahead of the start, developer Blizzard Entertainment will release a skin commemorating last year’s dreaded GOATS meta."
-0.69627845,-0.5796675,entertainment,"One hundred percent of proceeds from the new charity Humble Bundle, which includes games developed by Australian studios that made Hollow Knight and Void Bastards, will be donated to Australian wildlife charities."
0.36230233,2.844142,entertainment,"Cyberpunk 2077 will get multiplayer, but it likely won’t be available until after 2021. CD Projekt Red updated the release window today during an investor call, following the delay of the single-player game from April into September."
-3.3633432,0.22480881,entertainment,"The Australian wildfires are devastating the country’s residents, their homes, and the country’s animals. Destiny 2 developer Bungie is now offering a charity shirt on their store, with 100% of the profits going to Australian wildfire relief efforts."
1.9503883,2.4819245,entertainment,"The latest video from Mark Brown of Game Maker’s Toolkit discusses the two types of randomness: input and output randomness, why it drives players crazy, and what’s really going on behind the screen when the dice are rolled."
-3.7929268,0.7231358,entertainment,A new report from Kotaku said PS4 exclusive Horizon Zero Dawn will be released on Windows PC this year. Horizon Zero Dawn was released in 2017 from developer Guerrilla Games.
-4.629659,2.146832,entertainment,The Year of the Rat begins in Overwatch with Lunar New Year 2020. Blizzard has revealed all-new skins and a new arcade game mode for the annual Overwatch event.
-0.21238545,-0.29039568,entertainment,"The Devil May Cry 3’s Special Edition for Switch comes with a new style swapping system on the go. Instead of swapping at mid-mission statues or before the mission starts, you can switch weapons whenever you want."
1.6696727,3.5700881,entertainment,"Cyberpunk 2077 has been pushed back, with a new launch date of Sept. 17, 2020. Previously CD Projekt Red had promised April 16; now it says it needs more time for polish. The game is in development on PlayStation 4, Windows PC, and Xbox One, as well as Google Stadia."
3.020584,0.39575514,general,A national survey released Thursday found U.S. Sen. Susan Collins of Maine had the highest disapproval rating of any senator in 2019’s last quarter as she enters a campaign for a fifth term in which she is one of national Democrats’ top targets.
3.7519774,4.500485,general,"Intense thunderstorms with heavy rains dampened bushfires on Australia's east coast on Friday to the relief of exhausted firefighters, and farmers battling years of drought."
-4.705184,-3.6226628,general,"Temasek Holdings and Trustbridge Partners have held talks with WeWork China over increasing their stake in the China branch of the troubled co-working startup to take majority ownership, three people familiar with the matter told Reuters."
-4.9514265,-2.8728552,general,"China's economic growth cooled to its weakest in nearly 30 years in 2019 amid a bruising trade war with the United States, and more stimulus is expected this year as Beijing tries to boost sluggish investment and demand."
0.55840445,5.3173585,general,"As Google-parent Alphabet Inc became on Thursday the fourth U.S. company to top a market value of more than $1 trillion, some funds holding its shares are wondering whether now is the time to cash in on the stock's extraordinary gains."
3.4268208,-5.012821,general,"Supreme Leader Ayatollah Ali Khamenei said in a Friday prayers sermon that Iran's missile strikes on U.S. targets in Iraq showed it had divine support in delivering a ""slap on the face"" to a world power."
3.3810391,-5.114706,general,"Iran's supreme leader called on Friday for national unity and a high turnout in a February election, after protests erupted following the military's admission that it had shot down an airliner by mistake during a confrontation with the United States."
-2.269578,3.610141,general,"Indian Prime Minister Narendra Modi's ruling party on Friday slammed editorial policies of billionaire Jeff Bezos-owned Washington Post, even as his e-commerce firm Amazon announced plans to create a million jobs in the country by 2025."
3.4209504,-5.012057,general,"Iranian Supreme Leader Ayatollah Ali Khamenei said on Friday that three European states who were party to a nuclear pact from which the United States has already withdrawn could not be trusted, and their actions to put pressure on Iran would not work."
0.57387936,4.552926,technology,"Xiaomi said today it is spinning off POCO, a sub-brand it created in 2018, as a standalone brand that will now run independently of the Chinese electronics giant and make its own market strategy. Manu Kumar Jain, VP of Xiaomi, said Poco has grown into its own identity in a short span of time. &#822…"
-1.0752436,-0.16433917,technology,"Funnel, the Stockholm-based startup that offers technology to help businesses prepare — or make “business-ready” — their marketing data for better reporting and analysis, has closed $47 million in Series B funding. Leading the round is Eight Roads Ventures, and F-Prime Capit…"
0.18725556,0.8067354,technology,"The future of transportation industry is bursting at the seams with startups aiming to bring everything from flying cars and autonomous vehicles to delivery bots and even more efficient freight to roads. One investor who is right at the center of this is Reilly Brennan, founding general partner of …"
-4.706695,2.0543208,technology,"SpinLaunch, a company that aims to turn the launch industry on its head with a wild new concept for getting to orbit, has raised a $35M round B to continue its quest. The team has yet to demonstrate their kinetic launch system, but this year will be the year that changes, they claim."
0.51972514,-0.8351121,technology,"When Intuit acquired Mint more than a decade ago, mobile was in a different place — as were tech-enabled financial services. There hasn’t been much progress for the personal finance tracker app category in the meantime. Mint has stumbled along with with integration issues and tiresome d…"
-4.105781,-4.5708933,technology,"Foxconn Technology Group, the Taiwanese electronics giant best known for its iPhone manufacturing contract, is forming a joint venture with Fiat Chrysler Automobiles to build electric vehicles in China. The joint venture was disclosed in a regulatory filing. Nikkei was first to report the joint ven…"
-3.124591,-0.09249057,technology,"When Visa bought Plaid this week for $5.3 billion, a figure that was twice its private valuation, it was a clear signal that traditional financial services companies are looking for ways to modernize their approach to business. With Plaid, Visa picks up a modern set of developer APIs that work behi…"
0.971941,4.9009676,technology,"Alphabet this afternoon became the fourth tech giant to join the highly exclusive trillion-dollar club, one whose original member, Apple, saw its market cap soar past $1 trillion for the first time in August 2018 and that has since welcomed — and pushed back out — Amazon, which passed t…"
-2.7559695,-2.0276754,technology,"Try as they might, even the most advanced roboticists on Earth struggle to recreate the effortless elegance and efficiency with which birds fly through the air. The ""PigeonBot"" from Stanford researchers takes a step towards changing that by investigating and demonstrating the unique qualities of fe…"
0.29965806,-4.488992,technology,"NBCUniversal officially unveiled its new streaming service Peacock today, announcing that the service will be available as part of a bundle for Comcast’s Xfinity X1 and Flex customers on April 15, before launching nationally on July 15. The company had announced its plans to enter the streami…"
-0.6892674,0.40206176,general,"A bench of justices Manmohan and Sangeeta Dhingra Sehgal allowed Sengar to deposit in 60 days the fine amount of ₹25 lakh, out of which ₹10 lakh will be released to the rape survivor without any condition."
0.68032897,0.53138274,general,"Members petitioned the Commissioner of Police in Coimbatore, asking for a case to be registered against the actor for his alleged recent remarks insulting Periyar"
3.3025417,-0.13768384,general,"Robert Blair, Mulvaney's senior national security adviser, was on Trump's call with the president of Ukraine that prompted the whistleblower complaint."
-0.35255015,0.79317784,general,James and Michelle Butler had been traveling the country in their RV when they vanished last month. Their deaths are being investigated as homicides.
-4.6288047,2.183745,technology,"I like to think that somewhere inside the bureaucratic labyrinth of Apple's employee structure, there's a single person with the world's greatest job. Each year, they only have to do ..."
0.13790163,-1.0750624,technology,"Subscribe to this bi-weekly newsletter here!

Welcome to the latest edition of Pardon The Intrusion, TNW’s bi-weekly newsletter in which we explore the wild world of security.

We're ..."
-4.702399,-3.635618,technology,"Every few days, China finds a new way to introduce facial recognition in people's daily lives. According to a report from the South China Morning Post, Shanghai is testing terminals ..."
-5.799375,-0.60547084,technology,"At last: Google's parent company, Alphabet, is now the fourth company in the US As to attain a market value of more than $1 trillion, after Apple, Amazon, and Microsoft.

The company ..."
-2.2467697,4.2887573,technology,"Good news! Facebook is dropping plans of showing ads on popular chat app WhatsApp. According to a report by the Wall Street Journal, WhatsApp disbanded the team working on integrating ..."
-1.6928791,-3.3628604,general,India News: President Ram Nath Kovind on Friday rejected the mercy petition of one of the convicts in the Nirbhaya gang-rape and murder case. The Union home minis
-1.8438476,-3.113132,general,India News: Russian deputy chief of mission Roman Babushkin on Friday said all S-400 air defence missile systems will be delivered to India by 2025. The productio
0.36265406,0.73648447,general,BJP and actor Pawan Kalyan's Jana Sena have decided to forge a new political front in Andhra Pradesh. Both parties have come to an agreement to fight
-1.655566,-3.872948,general,"India News: Rahul Gandhi on Friday alleged that the best way to ""silence"" J&K DSP Davinder Singh was to hand the investigations against him to NIA chief Y C M"
-5.0809684,2.5773132,general,"India News: In a first satellite launch of this year, Indian Space Research Organisation’s communication satellite Gsat-30 was successfully launched by European s"
0.4941588,-0.38729808,technology,Armslist is one of the easiest ways to buy a gun online. But an investigation from The Verge in collaboration with The Trace reveals hundreds of users who may be skirting the law through high-volume sales.
-2.8574235,-5.7273855,technology,"New renders from Evan “Evleaks” Blass give us our best look yet at Huawei’s next flagship phone. This is the P40 Pro, according to Blass, who says that the phone will make use of ceramic in its build."
0.35034797,-4.3600583,technology,"Comcast and NBCUniversal gave a first look at its Peacock streaming service at an investors day in New York. The interface includes three main hubs: channels, browse, and a trending section."
0.24875838,0.06603936,technology,"If you weren’t convinced we live in a new era for Microsoft’s consumer-facing software, the one-two punch of Windows 7 closing down and the new Chromium-based version of Edge officially launching ought to do it for you.  Microsoft’s new Edge Chromium browser is out now for both Windows and macOS ."
-0.10706103,2.9641747,technology,"In a Nintendo Direct presentation today, director Masahiro Sakurai revealed that the next character coming to Super Smash Bros. Ultimate on the Nintendo Switch would be Byleth from Fire Emblem: Three Houses."
1.9338588,2.4215164,technology,Open-world role-playing game Cyberpunk 2077 is being delayed from April 16th to September 17th. Developer CD Projekt Red said the change was necessary to add more polish to the massive game.
-2.2126658,4.025462,technology,"As part of its efforts to address climate change, Microsoft plans to be carbon negative by 2030. To achieve that, it will slash emissions and remove carbon dioxide from the environment."
1.6294867,-2.7916548,technology,"Frequently a battleground for warring forces, hashtags are starting to look dated. And as  this week’s #NeverWarren controversy showed, they can also be misleading"
-0.85986865,-1.0009574,technology,"BT has partnered with Google in the UK to bundle Stadia Premiere Edition with broadband deals. It’s a first for Europe, and BT is the biggest ISP in the UK."
0.28638497,-4.3427176,business,"Attorney general’s earlier service, telecom experience shaped his views; some bureau officials were stunned by his rebuke of Apple over Pensacola shooter’s iPhones"
